review_id,review_text,category
0fc651bfdd38a3b4ba19ef9d0d1e92e3,"Penginapannya rapi, bersih, suasana tenang, pelayannya ramah dan banyak membantu. Lokasi cukup dekat ke beberapa obyek wisata. kalau saya ke bandung lagi mungkin saya akan menginap lagi di sini.",1
7d8cb2e465c5602e51c1ba8710e8ff16,"wifi tidak sampai kamar, tidak tersedia heater untuk kopi/teh atau dispenser dan tidak tersedia kursi di depan kamar untuk merokok hingga harus duduk di lantai",0
1f4447c73e5e1aac462d05b0ecbd5a55,"Lantai kamar mandi kotor, bau, dan seperti sdh jdi sarang nyamuk dikamar mandinya...pesan superior double yg dikasih twin...mungkin karena murah saya maklumin, tpi kedepan mohon untuk bisa jdi perbaikan untuk bisa lbh baik lg..",0
b9aefbfb0debbfff43f8b268c82b43c0,"Wc jorok.. Kasur tidak dibersihkan,, handuk tidak diganti, ",0
e2afef18bd695fae43d4d53b8c547bd4,bocor lagi,0
a45d79bde831ad1306adbd8ffb5d3d50,"kebersihan, pelayanan, kerapihan",0
ecdf90bd55184829caae18e5423a2e53,saya hampir tidak bisa tidur krn bantal sangat bau apek,0
b0a8cb904f0536dca57bd5be090e510c,"Pelayanannya sangat baik,kmr yang bersih,menu makanannya juga enak to sayang wifinya kutang bagus..",1
c2dd2ab5fd6880dc2ca8c3901f88dc53,"Kamar banyak kecoa, tlg lebih diperhatikan kebersihannya",0
4018a964e23acd6f0363fda9cbbc92ec,kamar mandi banjir,0
1b5c20dacda39afbd50f295d0f5e96d6,"Lebih menjaga kebersihan, khususnya tempat tidur. Untuk kenyamanan tamu. ""Bebial-bial kami betiga beranak, tilamnya hibak pempijit. Banyak sarang pempijit dikepala ranjangnya. Untungnya boleh minta pindah kamar."" ",0
0669b84a32d01e54e73a1499b2efaf8b,Pelayanan kurang ramah dan ribet masalah administrasi..tidak rekomen nginap dsini,0
d6fd462ba09d87510ac1d767b68d1d68,Hotel bersih bgt...nyaman...kolam renang bersih...pelayanan hotel baik...deket sm indomaret...depan hotel ada makanan manado...murah dan enak...remomended banget pokoknya....,1
0ce78b57274ab55b29860f62f16ebfbb,"Roomnya bersih banget, lokasi strategis pusat kota, nyaman, namun pesan yang 1 double bed dapatnya twin bad, gempa lombok bikin takut menginap di hotel bertingkat.. ",1
4bc27499e7c8b38b07c799d87fceb7ac,"tidak ada sinyal internet didalam area penginapan, wifi kurang memadai",0
ee25ccb26538dabf5c206b5236cb0435,Ribut dan kurang nyaman,0
5c2fa1744cbf39b8dbce7563cbd0e31a,ac nya kurang dingin gk seru banget ,0
3a9c7e4029894b032cb316c7a7bbd882,pelayanan kurang bagus tilam standar double room harusnya besar sebelum check out air dimatikan ,0
c79e05970abd5408cb156b7972fd5954,buruk.  tidak sesuai kamar yg di pesan.  kamar kecil ac berisik sarapan biasa aja. ,0
48f0255621502e3f91be694496e03355,"toilet tidak bersih, tidak ada bathmed, kitchen wastafel kurang bersih.",0
b36ad2671426885d955f3cb4468b2d40,"wifi payah sekali, petugas kurang responsif ketika wastafel buntu direspon baru hari berikutnya,, tolong diperhatikan ",0
98fe40b58cfa1bba42c485df6120e48f,saya nginap dan di situ Aqua nya kosong ,0
0abcdf05e0753ff596f41ced4ced534a,kasure njeblosssss ,0
0eb653b958e8e985ac3be3e64d87beb5,"kamar terkesan kurang bersih, kamar mandi pun kotor, overall kecewa.",0
f32075105d30cd62009afd7a1998d764,"Gampang cari makanan, tetapi kamarnya terlalu lembab. sepertinya lantai dibawah ranjang tidak pernah di bersihkan.",0
bc835664eafe1b4ec070a9ad3c477fc8,WiFi eror.  Kasur kependekan ,0
6fe1f44af526b3ba04745cd761bc07dd,"- Interior kamar Bagus.
- Fasilitas kamar lengkap ada kulkas,termos pemanas, brankas termasuk murah dengan harga 300Rb.
- Kamar mandi Kotor
- masuk kamar di sambut kecoa kecil
- Loby bagus",0
41065c060d1e1540c5e6f1dd1155227f,"ga ada colokan buat charge, ada yg bawa anjing, air ga jalan sama sekali. very bad!",0
f95c715acd1912c10dbe0f27f3bbd81c,"Kamar agak lembab, lokasi oke.",1
30c1e157360440ddb26e2baf28300864,"Kamarnya sempit, pesan yg twin dikasih yg single tanpa konfirmasi. sempit banget jadinya utk berdua dgn istri.
di dalam kamar ada nyamuknya.
perlengkapan mandi cuma 1 pouch.
kontrol AC terpusat via resepsionis, dingin banget, tak leluasa kontrol suhunya.
saya baru tahu, ada juga standar Airy yg breakfast nya cuma Roti Selai dan Minum doang.",0
ef437bd9ee3d67713d02762a08f1f266,"awal datang dapat kamar lantai 2 dengan kondisi kamar yang di bawah standart .. plus signal hp drop dan tidak ada wifi .. kondisi kamar jadul dan kumuh .. lalu saya complain dengan receptionist .. dan d pindahkan kamar ke lantai 1 ,, receptionist cepat menanggapi complain kami .. di lantai 1 kamar yang kami tempati lumayan besar .. tapi tetap jadul",0
fc7ebe28125cc63e98c06524b8b46ad7,"Pintu kamar mandi macet, tidak ada selimut.",0
3cd664375a76f27974f0a8675face54c,Amit amit. gk ada tempat charger. mau charger naik ke lemari atw cabut tv/pan. intinya. KECEWA udah komplain malah gak ada respon dn cuma bilang EMANG GITU,0
18d92495ba9f95fa27a739eeeb01d031,apa memang gak ada selimutnya??? Untung aja gw tidurnya mmng gak suka make selimut... Breakfastnya lumayan... Pelayanannya baik... ,0
bd63a421291d1362fb8a2469c876c4ab,wifi dan handuk,0
bb1228cd7d2a5bc69d3984e57af3af8f,"beberapa kali menginap (returning guests) baru kali ini dikecewakan scr berturut, 1). pintu kmr dipaksa buka dgn alasan tdk tahu kl kmr bersangkutan sdh terisi (occupied) yg jelas-2 di front office kunci kmr yg km sewa tdk ada 2). swkt akan check out mesti lbh dulu.menunggu customer service periksa kmr dgn alasan srg bercak darah d selimut, dll...",0
7c11c31dd1ff0b0461d922c0352778e1,Wifinya ga berfungsi ,0
d60e1484cb620881f063edb63dceff4b,Disini kami sekeluarga sangat diperhatikan dari kami datang sanpai cek out.,1
cd533d98b21fb7124feddf2b478cca7b,lingkungan yang padat penduduk dan kotor. kamar dan kamar mandi juga terkesan tidak terawat. ,0
5937b4ebd329534eb8189192d60b3580,"- papan nama kurang terlihat, kurang besar .. - lokasi pinggir jln, banyak penjual makan .. - pelayanan, kebersihan, wifi ok, sesuai std airy - hanya AC kurang dingin",1
857e5179409a863711699534ffa58683,"System booking online harus diperbaiki, booking seminggu sebelumnya akan tetapi kamar kost baru diberitahu pas hari chek in.. Sempat diover ke kamar airy daerah lain pas hari pertama karena ga ada kamar... Untuk kamar generally clean, nyaman,kalau bisa lebih ditingkatkan lagi pelayanannya.. ",0
f97592c91d379297d95be10938ddbfd5,"kelengkapan mandinya kurang, di hotel juga tidak menyediakan seperti sabun dan sampo. begitu masuk kamar, baunya agak gak sedap. selebihnya udah oke kok..",0
77639da9c2ae5ed4064c7aa5e426947b,"fasilitas oke.. pelayanan engga bgt ! ga ada resepsionisnya. keamanan kurang bgt.. waktu mau check in, pintu dibiarkan terbuka tanpa penjagaan.. di panggil2 gada yg nyautin. d telfon, malah suruh nyampering ke lantai 2. kaya bukan penginapan. ga profesional bgt",0
99fa217ef5f83e37a692afc364248a94,"Lokasi sangat strategis, tidak ada air mineral dan handuk",0
3e7d7667aa63ec5b954329c937962a63,"free snack + sabun / shampoo airy gak ada...
AC nya juga bocor air nya keluar di dlm ruangan... semoga di perbaiki tempat dan kinerjanya dimana hak buat konsumen... ",0
f976f520839be113ae07a8a979a61dff,"kost an bkn hotel, gak sesuai ekspektasi",0
b14818bf036546d15ae172d57a250a80,"Pegawai ramah namun kamarnya kotor.
semoga kedepanya makin baik.",0
e6b67d39bb5be70edd477d10564acd6e,"tolong kebersihan di tingkakan. kamar masih agak berdebu di pojok. laundry handuk kotor. selimut tipis, banyak nyamuk (meskipun memang musim hujan dan samping rawa).

pelayanan dan fasilitas sudah sedia baik dengan harga murah. sudah ada air panas dan Snack.

hanya kebersihan di tingkatkan itu sudah cukup",0
d4b5d37f852197a37de8378035077d76,Ga dapet snacknya  ,0
87858ae67f597274744c822471eed540,Aduuuh pikir2 lagi deh kalau mau nginap disini,0
4d5ce9c9ca18abf8f1eaa2f8631caa1f,"Air Panasnya ga ada, sempit, lampunya ada yang mati. breakfast ga ada rasanya. overall kurang puas",0
540a367b5bc8e4108602519a136d2264,"Yang paling berkesan adalah ketika tahu bahwa ini penginapannya bukan seperti yang di foto. Terlebih lagi, kunci kamar mandi tidak dapat berfungsi sebagaimana mestinya. Apakah memang sengaja kamar mandi tidak untuk ditutup dan dikunci?
Bagusnya adalah wifi lancar banget.",0
2949da8bb2d90f448303080044fdd801,kutunya banyak. acnya mati. aernya jelek. wcnya bau. ,0
862b56581f6a4f6f30fd76e098d6d2f1,"Kamarnya kurang kedap suara, jadi suara dari luar mudah terdengar.",1
